FrameNumber,ExposureTime,FrameDuration,Difference
1,16562,16666,104
2,16562,16666,104
3,16562,16666,104
4,16562,16666,104
5,16562,16666,104
6,16562,16666,104
7,16562,16666,104
8,16562,16666,104
9,16562,16666,104
10,16562,16666,104
11,16562,16666,104
12,16562,16666,104
13,16562,16666,104
14,16562,16666,104
15,16562,16666,104
16,16562,16666,104
17,16562,16666,104
18,16562,16666,104
19,16562,16666,104
20,16562,16666,104
21,16562,16666,104
22,16562,16666,104
23,16562,16666,104
24,16562,16666,104
25,16562,16666,104
26,16562,16666,104
27,16562,16666,104
28,16562,16666,104
29,16562,16666,104
30,16562,16666,104
31,16562,16666,104
32,16562,16666,104
33,16562,16666,104
34,16562,16666,104
35,16562,16666,104
36,16562,16666,104
37,16562,16666,104
38,16562,16666,104
39,16562,16666,104
40,16562,16666,104
41,16562,16666,104
42,16562,16666,104
43,16562,16666,104
44,16562,16666,104
45,16562,16666,104
46,16562,16666,104
47,16562,16666,104
48,16562,16666,104
49,16562,16666,104
50,16562,16666,104
